Date,Time,Booking Status,Vehicle Type,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method,Day,Time_of_Day,ride_status,payment_status
12-04-2024,01-01-1900 19:42,No Driver Found,Premier Sedan,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Evening,Incomplete,Unpaid
05-04-2024,01-01-1900 18:57,Incomplete,Bike,3.1,28.2,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,304,1.98,0,0,UPI,Friday,Evening,Incomplete,Paid
03-11-2024,01-01-1900 12:24,Completed,Auto,8.9,31.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,2847,39.21,3.1,4.6,Debit Card,Sunday,Afternoon,Completed,Paid
18-05-2024,01-01-1900 17:37,Cancelled by Driver,Go Mini,9.2,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Afternoon,Cancelled,Unpaid
15-11-2024,01-01-1900 05:53,Completed,Go Mini,8.9,41,0,Not Applicable,0,Not Applicable,0,Not Applicable,282,8.36,3.8,4.4,UPI,Friday,Night,Completed,Paid
04-02-2024,01-01-1900 18:08,Completed,Premier Sedan,11.5,20.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,656,6.39,5,4.9,Uber Wallet,Sunday,Evening,Completed,Paid
29-05-2024,01-01-1900 14:05,Completed,Auto,2,19.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,134,46.66,3.8,4.4,Credit Card,Wednesday,Afternoon,Completed,Paid
13-07-2024,01-01-1900 19:53,Cancelled by Driver,Go Sedan,5.4,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Evening,Cancelled,Unpaid
07-06-2024,01-01-1900 19:21,Completed,Go Sedan,14.6,25.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,470,27.07,3.7,4.2,Cash,Friday,Evening,Completed,Paid
16-05-2024,01-01-1900 13:04,Completed,Auto,6.7,20.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,187,12.16,4.9,4.3,UPI,Thursday,Afternoon,Completed,Paid
02-10-2024,01-01-1900 03:10,Completed,Premier Sedan,6.6,30,0,Not Applicable,0,Not Applicable,0,Not Applicable,186,10.28,4.4,4.6,UPI,Wednesday,Night,Completed,Paid
26-02-2024,01-01-1900 15:43,Completed,eBike,10,35.8,0,Not Applicable,0,Not Applicable,0,Not Applicable,70,44.42,4.1,4.4,UPI,Monday,Afternoon,Completed,Paid
10-09-2024,01-01-1900 13:02,Cancelled by Customer,Bike,11,0,1,Driver is not moving towards pickup location,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Tuesday,Afternoon,Cancelled,Unpaid
12-09-2024,01-01-1900 09:14,Cancelled by Driver,Auto,8,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Morning,Cancelled,Unpaid
24-01-2024,01-01-1900 10:47,Completed,Auto,12.8,18.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,273,34.64,4.5,4.6,Uber Wallet,Wednesday,Morning,Completed,Paid
12-02-2024,01-01-1900 19:42,Incomplete,Premier Sedan,6.4,10.5,0,Not Applicable,0,Not Applicable,1,Other Issue,966,18.3,0,0,Debit Card,Monday,Evening,Incomplete,Paid
02-10-2024,01-01-1900 19:17,Cancelled by Driver,Auto,5.4,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Evening,Cancelled,Unpaid
01-04-2024,01-01-1900 21:14,Completed,Go Sedan,12.2,42.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,251,20.91,4.2,3.6,Debit Card,Monday,Evening,Completed,Paid
18-09-2024,01-01-1900 21:06,Cancelled by Driver,Go Mini,6.6,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Evening,Cancelled,Unpaid
02-08-2024,01-01-1900 07:17,Cancelled by Customer,Auto,11.3,0,1,Driver asked to cancel,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Morning,Cancelled,Unpaid
30-09-2024,01-01-1900 13:10,Incomplete,Bike,2.3,29.7,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,453,19.24,0,0,Debit Card,Monday,Afternoon,Incomplete,Paid
16-06-2024,01-01-1900 00:44,Completed,Go Sedan,7.8,42.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,246,8.13,4.2,4.5,UPI,Sunday,Night,Completed,Paid
18-09-2024,01-01-1900 09:33,Completed,Auto,8.8,25.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,237,2.96,3.9,3.3,UPI,Wednesday,Morning,Completed,Paid
04-05-2024,01-01-1900 21:26,Incomplete,Go Mini,9.9,21.6,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,1581,1.82,0,0,Cash,Saturday,Evening,Incomplete,Paid
03-06-2024,01-01-1900 18:14,Completed,Go Mini,4.1,25.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,379,33.04,4.2,4.5,Uber Wallet,Monday,Evening,Completed,Paid
03-10-2024,01-01-1900 22:20,Completed,Go Mini,11.2,40.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,545,44.7,4.3,4.3,Cash,Thursday,Evening,Completed,Paid
25-05-2024,01-01-1900 11:24,Completed,Go Mini,3,35.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,479,7.38,4.2,4.6,UPI,Saturday,Morning,Completed,Paid
04-03-2024,01-01-1900 17:46,Cancelled by Driver,Go Sedan,11.2,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Monday,Afternoon,Cancelled,Unpaid
10-11-2024,01-01-1900 05:13,Completed,Go Mini,9.1,23.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,647,24.93,4.3,4.7,Uber Wallet,Sunday,Night,Completed,Paid
11-09-2024,01-01-1900 10:36,Cancelled by Driver,Auto,4.3,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Morning,Cancelled,Unpaid
11-04-2024,01-01-1900 15:43,No Driver Found,Uber XL,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Afternoon,Incomplete,Unpaid
01-06-2024,01-01-1900 10:03,Completed,Premier Sedan,11.4,42.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,125,25.16,4.3,5,Credit Card,Saturday,Morning,Completed,Paid
09-05-2024,01-01-1900 10:44,Cancelled by Driver,Premier Sedan,6.3,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Morning,Cancelled,Unpaid
30-07-2024,01-01-1900 12:02,Completed,Premier Sedan,12.4,21.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,375,48.85,3.3,3.3,Cash,Tuesday,Afternoon,Completed,Paid
25-02-2024,01-01-1900 16:23,Completed,Auto,11.7,33,0,Not Applicable,0,Not Applicable,0,Not Applicable,310,24.41,4.6,3.8,Debit Card,Sunday,Afternoon,Completed,Paid
09-02-2024,01-01-1900 11:15,Cancelled by Customer,Auto,16.6,0,1,Driver is not moving towards pickup location,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Morning,Cancelled,Unpaid
02-03-2024,01-01-1900 04:59,Cancelled by Driver,Go Sedan,5.4,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Night,Cancelled,Unpaid
27-08-2024,01-01-1900 18:22,Incomplete,Auto,2.3,10.1,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,370,13.85,0,0,Cash,Tuesday,Evening,Incomplete,Paid
08-03-2024,01-01-1900 09:28,Cancelled by Driver,Premier Sedan,5.8,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Morning,Cancelled,Unpaid
20-03-2024,01-01-1900 09:59,Cancelled by Driver,Premier Sedan,6.7,0,0,Not Applicable,1,Customer related issue,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Morning,Cancelled,Unpaid
25-01-2024,01-01-1900 12:39,Completed,eBike,12.1,18.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,291,3.71,3.2,4.3,UPI,Thursday,Afternoon,Completed,Paid
11-04-2024,01-01-1900 11:14,Completed,Auto,5.8,24.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,114,32.98,4.3,4.5,Uber Wallet,Thursday,Morning,Completed,Paid
17-06-2024,01-01-1900 20:25,Completed,Go Mini,4,44.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,464,11.2,4.5,4.2,Cash,Monday,Evening,Completed,Paid
29-07-2024,01-01-1900 19:52,Completed,Go Sedan,3.4,27.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,160,45.4,4,5,Cash,Monday,Evening,Completed,Paid
22-12-2024,01-01-1900 10:53,Cancelled by Driver,Auto,11.1,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Morning,Cancelled,Unpaid
21-12-2024,01-01-1900 21:40,Completed,eBike,9.9,38.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,206,28.78,4.1,3.7,Cash,Saturday,Evening,Completed,Paid
23-02-2024,01-01-1900 11:38,Incomplete,Go Mini,5.9,17.2,0,Not Applicable,0,Not Applicable,1,Customer Demand,217,2.81,0,0,Credit Card,Friday,Morning,Incomplete,Paid
05-05-2024,01-01-1900 21:22,Completed,Bike,8.1,37.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,633,17.34,4.5,4.9,Credit Card,Sunday,Evening,Completed,Paid
08-11-2024,01-01-1900 17:01,Completed,Auto,6.1,28.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,717,9.38,4.2,4.5,UPI,Friday,Afternoon,Completed,Paid
26-12-2024,01-01-1900 21:21,Completed,Go Sedan,6,26.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,151,11.9,4.9,4.5,UPI,Thursday,Evening,Completed,Paid
05-09-2024,01-01-1900 07:44,Completed,Premier Sedan,5,34.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,512,35.66,3.7,4.9,UPI,Thursday,Morning,Completed,Paid
25-11-2024,01-01-1900 08:29,Cancelled by Customer,Go Sedan,12,0,1,Driver asked to cancel,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Monday,Morning,Cancelled,Unpaid
15-08-2024,01-01-1900 18:40,Cancelled by Driver,Premier Sedan,3.2,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Evening,Cancelled,Unpaid
10-02-2024,01-01-1900 09:17,Completed,Premier Sedan,9.6,39.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,1390,21.79,5,4.9,UPI,Saturday,Morning,Completed,Paid
26-09-2024,01-01-1900 11:33,Cancelled by Driver,Premier Sedan,3.9,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Morning,Cancelled,Unpaid
01-07-2024,01-01-1900 17:39,Completed,Bike,3.9,23,0,Not Applicable,0,Not Applicable,0,Not Applicable,224,7.86,4.1,4.2,Cash,Monday,Afternoon,Completed,Paid
19-10-2024,01-01-1900 16:24,Completed,Auto,8.4,31.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,708,18.04,4.6,4.8,UPI,Saturday,Afternoon,Completed,Paid
09-02-2024,01-01-1900 10:51,Completed,Auto,7.7,43.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,153,15.18,4.2,3.6,Uber Wallet,Friday,Morning,Completed,Paid
31-03-2024,01-01-1900 12:37,Cancelled by Driver,Bike,6.3,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Afternoon,Cancelled,Unpaid
11-12-2024,01-01-1900 17:05,Completed,Bike,5,35,0,Not Applicable,0,Not Applicable,0,Not Applicable,72,13.38,4.7,4.2,Cash,Wednesday,Afternoon,Completed,Paid
19-06-2024,01-01-1900 16:19,Incomplete,Go Sedan,8.9,15.6,0,Not Applicable,0,Not Applicable,1,Customer Demand,282,11.81,0,0,UPI,Wednesday,Afternoon,Incomplete,Paid
20-06-2024,01-01-1900 18:58,No Driver Found,Go Mini,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Evening,Incomplete,Unpaid
10-07-2024,01-01-1900 02:23,Completed,Premier Sedan,10.9,43.6,0,Not Applicable,0,Not Applicable,0,Not Applicable,696,30.9,4.7,3.7,UPI,Wednesday,Night,Completed,Paid
06-02-2024,01-01-1900 21:27,Incomplete,eBike,5.7,18,0,Not Applicable,0,Not Applicable,1,Vehicle Breakdown,936,14.91,0,0,Uber Wallet,Tuesday,Evening,Incomplete,Paid
30-09-2024,01-01-1900 12:34,Completed,Auto,8.6,32.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,2169,44.25,4.4,4.3,Uber Wallet,Monday,Afternoon,Completed,Paid
20-09-2024,01-01-1900 13:09,Completed,eBike,9.5,24.6,0,Not Applicable,0,Not Applicable,0,Not Applicable,136,45.46,3.2,3.8,Uber Wallet,Friday,Afternoon,Completed,Paid
30-04-2024,01-01-1900 20:25,Completed,Go Mini,4.6,38.9,0,Not Applicable,0,Not Applicable,0,Not Applicable,214,2.91,4.1,4.7,UPI,Tuesday,Evening,Completed,Paid
04-06-2024,01-01-1900 20:38,Completed,Go Mini,10.3,16.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,835,37.57,4.2,4.8,UPI,Tuesday,Evening,Completed,Paid
30-10-2024,01-01-1900 16:29,Cancelled by Driver,eBike,6,0,0,Not Applicable,1,More than permitted people in there,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Afternoon,Cancelled,Unpaid
11-08-2024,01-01-1900 18:21,Completed,Go Sedan,2.6,36.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,705,40.18,3.9,4.8,UPI,Sunday,Evening,Completed,Paid
21-05-2024,01-01-1900 17:39,No Driver Found,Uber XL,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Tuesday,Afternoon,Incomplete,Unpaid
08-10-2024,01-01-1900 08:52,Completed,Go Sedan,2.1,35.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,480,20.22,4.3,4.8,Debit Card,Tuesday,Morning,Completed,Paid
26-03-2024,01-01-1900 18:59,Cancelled by Customer,Premier Sedan,14.4,0,1,AC is not working,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Tuesday,Evening,Cancelled,Unpaid
24-06-2024,01-01-1900 18:04,Completed,Go Mini,7.5,41.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,707,44.76,4.8,4.4,UPI,Monday,Evening,Completed,Paid
28-03-2024,01-01-1900 19:20,Cancelled by Driver,Bike,9.9,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Evening,Cancelled,Unpaid
27-09-2024,01-01-1900 20:16,Completed,eBike,10,38,0,Not Applicable,0,Not Applicable,0,Not Applicable,865,43.34,3.2,3.8,Cash,Friday,Evening,Completed,Paid
26-04-2024,01-01-1900 15:45,Completed,Bike,10.8,40,0,Not Applicable,0,Not Applicable,0,Not Applicable,768,5.97,4.3,4.8,Cash,Friday,Afternoon,Completed,Paid
19-05-2024,01-01-1900 18:47,Completed,Bike,7,37,0,Not Applicable,0,Not Applicable,0,Not Applicable,626,27.96,3.9,4.3,Uber Wallet,Sunday,Evening,Completed,Paid
05-06-2024,01-01-1900 11:16,Completed,Go Mini,9.2,40.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,443,21.19,4.2,5,UPI,Wednesday,Morning,Completed,Paid
07-01-2024,01-01-1900 16:21,Cancelled by Customer,Auto,7.9,0,1,Driver asked to cancel,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Afternoon,Cancelled,Unpaid
19-04-2024,01-01-1900 14:14,Completed,Go Sedan,9.9,28.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,226,47.63,3.6,4.1,UPI,Friday,Afternoon,Completed,Paid
31-03-2024,01-01-1900 16:34,Completed,Auto,12.8,30.6,0,Not Applicable,0,Not Applicable,0,Not Applicable,449,24.4,3.3,4.1,UPI,Sunday,Afternoon,Completed,Paid
26-03-2024,01-01-1900 19:13,Completed,Go Mini,5.9,21.1,0,Not Applicable,0,Not Applicable,0,Not Applicable,778,7.49,4.3,4.9,UPI,Tuesday,Evening,Completed,Paid
10-06-2024,01-01-1900 15:24,Completed,Bike,14.7,18.8,0,Not Applicable,0,Not Applicable,0,Not Applicable,361,24.44,4.3,4.8,UPI,Monday,Afternoon,Completed,Paid
16-08-2024,01-01-1900 17:05,Completed,Auto,3.5,30.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,235,9.2,4.3,3.9,UPI,Friday,Afternoon,Completed,Paid
04-02-2024,01-01-1900 15:32,Completed,Go Sedan,8.6,15.9,0,Not Applicable,0,Not Applicable,0,Not Applicable,186,28.09,4.2,4.4,Cash,Sunday,Afternoon,Completed,Paid
24-06-2024,01-01-1900 18:46,Incomplete,Uber XL,3.2,21.9,0,Not Applicable,0,Not Applicable,1,Other Issue,544,3.37,0,0,Cash,Monday,Evening,Incomplete,Paid
23-03-2024,01-01-1900 11:31,No Driver Found,Bike,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Morning,Incomplete,Unpaid
21-07-2024,01-01-1900 10:45,Cancelled by Customer,Go Mini,13.1,0,1,Driver asked to cancel,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Morning,Cancelled,Unpaid
22-09-2024,01-01-1900 06:39,Cancelled by Customer,Auto,8.1,0,1,Change of plans,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Sunday,Morning,Cancelled,Unpaid
26-05-2024,01-01-1900 22:36,Completed,Bike,7.7,25,0,Not Applicable,0,Not Applicable,0,Not Applicable,86,40.1,3.6,4.4,Cash,Sunday,Evening,Completed,Paid
30-03-2024,01-01-1900 13:55,Cancelled by Driver,Auto,8.1,0,0,Not Applicable,1,Personal & Car related issues,0,Not Applicable,414,23.72,0,0,Not Completed,Saturday,Afternoon,Cancelled,Unpaid
19-09-2024,01-01-1900 08:47,No Driver Found,Go Mini,0,0,0,Not Applicable,0,Not Applicable,0,Not Applicable,414,23.72,0,0,Not Completed,Thursday,Morning,Incomplete,Unpaid
26-12-2024,01-01-1900 16:16,Completed,Premier Sedan,8.3,43.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,234,42.5,3.7,4.9,Cash,Thursday,Afternoon,Completed,Paid
28-06-2024,01-01-1900 10:22,Cancelled by Driver,eBike,11.9,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,414,23.72,0,0,Not Completed,Friday,Morning,Cancelled,Unpaid
30-11-2024,01-01-1900 18:36,Completed,Go Sedan,6,44.4,0,Not Applicable,0,Not Applicable,0,Not Applicable,758,41.42,4.9,3.6,Cash,Saturday,Evening,Completed,Paid
04-11-2024,01-01-1900 13:46,Incomplete,Auto,7.9,16.7,0,Not Applicable,0,Not Applicable,1,Other Issue,629,17.52,0,0,UPI,Monday,Afternoon,Incomplete,Paid
16-04-2024,01-01-1900 19:41,Completed,Auto,12.5,26.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,273,31.69,4.4,4.8,UPI,Tuesday,Evening,Completed,Paid
12-09-2024,01-01-1900 05:52,Completed,Auto,11.1,19.6,0,Not Applicable,0,Not Applicable,0,Not Applicable,117,33.74,4.5,3.7,Debit Card,Thursday,Night,Completed,Paid
07-06-2024,01-01-1900 18:08,Completed,Go Sedan,13.3,15.8,0,Not Applicable,0,Not Applicable,0,Not Applicable,955,36.82,3.7,3.7,UPI,Friday,Evening,Completed,Paid
01-06-2024,01-01-1900 15:55,Completed,Go Sedan,9.7,31.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,139,38.75,4.4,4.3,UPI,Saturday,Afternoon,Completed,Paid
05-05-2024,01-01-1900 14:17,Completed,Go Mini,13.3,30.7,0,Not Applicable,0,Not Applicable,0,Not Applicable,255,17.07,4.3,4.4,Cash,Sunday,Afternoon,Completed,Paid
15-01-2024,01-01-1900 17:05,Completed,Auto,9.5,18,0,Not Applicable,0,Not Applicable,0,Not Applicable,1212,19.18,4.3,4.3,UPI,Monday,Afternoon,Completed,Paid
08-07-2024,01-01-1900 17:50,Completed,Go Sedan,10,23.6,0,Not Applicable,0,Not Applicable,0,Not Applicable,81,23.93,4.7,3.9,Debit Card,Monday,Afternoon,Completed,Paid
14-08-2024,01-01-1900 17:41,Completed,Auto,3.6,24.2,0,Not Applicable,0,Not Applicable,0,Not Applicable,940,29.09,4.2,4.6,UPI,Wednesday,Afternoon,Completed,Paid
31-07-2024,01-01-1900 17:07,Cancelled by Driver,Auto,8.5,0,0,Not Applicable,1,The customer was coughing/sick,0,Not Applicable,414,23.72,0,0,Not Completed,Wednesday,Afternoon,Cancelled,Unpaid
08-05-2024,01-01-1900 16:37,Completed,eBike,10,17.9,0,Not Applicable,0,Not Applicable,0,Not Applicable,98,27.55,4.2,4.1,Cash,Wednesday,Afternoon,Completed,Paid
29-07-2024,01-01-1900 12:28,Completed,Premier Sedan,5.9,15.5,0,Not Applicable,0,Not Applicable,0,Not Applicable,724,14,4.1,4.2,Cash,Monday,Afternoon,Completed,Paid
09-08-2024,01-01-1900 16:41,Completed,eBike,8,25.3,0,Not Applicable,0,Not Applicable,0,Not Applicable,749,47.3,4.4,4.3,UPI,Friday,Afternoon,Completed,Paid
